toy,model,delta_deg,chi2
1,M_free23+free13,232.0,-2.919999999670013
2,M_free23+free13,232.0,-2.799999999158252
3,M_free23+free13,232.0,-1.9099999988731136
4,M_free23+free13,232.0,-3.679999999579877
5,M_free23+free13,232.0,-3.299999998907243
6,M_free23+free13,232.0,-7.969999999579947
7,M_free23+free13,232.0,-2.6499999995799377
8,M_free23+free13,232.0,-3.6399999988731135
9,M_free23+free13,232.0,-2.6399999995799246
10,M_free23+free13,232.0,-2.35999999996584
11,M_free23+free13,232.0,-3.6899999989072487
12,M_free23+free13,232.0,-1.3699999988731133
13,M_free23+free13,232.0,-1.4599999988731132
14,M_free23+free13,232.0,-5.849999999673318
15,M_free23+free13,232.0,-7.079999998873113
16,M_free23+free13,232.0,-1.7199999988731134
17,M_free23+free13,232.0,-2.36999999957994
18,M_free23+free13,232.0,-9.72999999957992
19,M_free23+free13,232.0,-3.0199999988731134
20,M_free23+free13,232.0,-5.8699999997170265
21,M_free23+free13,232.0,-3.7999999995799136
22,M_free23+free13,232.0,-0.08999999887311332
23,M_free23+free13,232.0,-3.689999999579948
24,M_free23+free13,232.0,-1.289999999579948
25,M_free23+free13,232.0,-7.089999999579938
26,M_free23+free13,232.0,-10.54999999957995
27,M_free23+free13,232.0,-14.849999999580982
28,M_free23+free13,232.0,-4.099999998873113
29,M_free23+free13,232.0,-3.1799999995798762
30,M_free23+free13,232.0,-4.329999999579937
31,M_free23+free13,232.0,-2.6399999995798082
32,M_free23+free13,232.0,-2.0199999988731223
33,M_free23+free13,232.0,-1.6599999995806647
34,M_free23+free13,232.0,-2.2899999995797047
35,M_free23+free13,232.0,-9.909999998873113
36,M_free23+free13,232.0,-5.619999999579936
37,M_free23+free13,232.0,-2.739999999259016
38,M_free23+free13,232.0,-8.899999998873113
39,M_free23+free13,232.0,-1.5599999995799376
40,M_free23+free13,232.0,-2.8599999993779806
41,M_free23+free13,232.0,-4.419999998873114
42,M_free23+free13,232.0,-1.8899999988731133
43,M_free23+free13,232.0,-9.409999998907248
44,M_free23+free13,232.0,-0.629999999579858
45,M_free23+free13,232.0,-1.6799999988731134
46,M_free23+free13,232.0,-1.999999999579948
47,M_free23+free13,232.0,-2.0999999989072347
48,M_free23+free13,232.0,-14.04999999958095
49,M_free23+free13,232.0,-10.569999999557892
50,M_free23+free13,232.0,-4.699999999116673
51,M_free23+free13,232.0,-5.999999999417264
52,M_free23+free13,232.0,-1.8999999988731133
53,M_free23+free13,232.0,-0.6599999988731133
54,M_free23+free13,232.0,-1.3399999995799479
55,M_free23+free13,232.0,-2.9199999989072487
56,M_free23+free13,232.0,-1.13999999957994
57,M_free23+free13,232.0,-7.269999998873104
58,M_free23+free13,232.0,-11.009999998873123
59,M_free23+free13,232.0,-3.909999999579938
60,M_free23+free13,232.0,-2.2899999993855777
61,M_free23+free13,232.0,-0.4599999995799135
62,M_free23+free13,232.0,-2.289999999436814
63,M_free23+free13,232.0,-2.6499999995799395
64,M_free23+free13,232.0,-2.769999999259005
65,M_free23+free13,232.0,-3.8199999995799483
66,M_free23+free13,232.0,-1.069999998873122
67,M_free23+free13,232.0,-12.559999999578908
68,M_free23+free13,232.0,-4.0099999995799465
69,M_free23+free13,232.0,-4.419999999579946
70,M_free23+free13,232.0,-1.8199999999658405
71,M_free23+free13,232.0,-0.879999999579948
72,M_free23+free13,232.0,-4.2899999995799405
73,M_free23+free13,232.0,-7.409999998873113
74,M_free23+free13,232.0,-4.519999999579948
75,M_free23+free13,232.0,-3.62999999957994
76,M_free23+free13,232.0,-1.3499999988731222
77,M_free23+free13,232.0,-4.6299999995799475
78,M_free23+free13,232.0,-6.519999999579948
79,M_free23+free13,232.0,-0.0899999999658479
80,M_free23+free13,232.0,-5.539999999579946
81,M_free23+free13,232.0,-3.909999999579948
82,M_free23+free13,232.0,-3.5799999995662377
83,M_free23+free13,232.0,-2.059999999386856
84,M_free23+free13,232.0,-4.099999999579948
85,M_free23+free13,232.0,-1.0599999995790903
86,M_free23+free13,232.0,-1.4499999995798822
87,M_free23+free13,232.0,-2.18999999957994
88,M_free23+free13,232.0,-2.6499999988731138
89,M_free23+free13,232.0,-2.56999999957994
90,M_free23+free13,232.0,-1.1799999995791484
91,M_free23+free13,232.0,-8.189999999579799
92,M_free23+free13,232.0,-2.0599999988731135
93,M_free23+free13,232.0,-6.719999999579915
94,M_free23+free13,232.0,-2.339999999579948
95,M_free23+free13,232.0,-7.249999999579948
96,M_free23+free13,232.0,-3.4799999997797757
97,M_free23+free13,232.0,-2.789999999579948
98,M_free23+free13,232.0,-2.3499999989072484
99,M_free23+free13,232.0,-2.499999999121873
100,M_free23+free13,232.0,-1.7399999992755597
